,0
0,0.019269053
1,0.01893678
2,0.021262344
3,0.019269053
4,0.020597797
5,0.019601326
6,0.019601326
7,0.015282474
8,0.016943492
9,0.023255635
10,0.02591347
11,0.023920178
12,0.020597797
13,0.019269053
14,0.01860451
15,0.020597797
16,0.02093007
17,0.02093007
18,0.021926887
19,0.028571304
20,0.028903581
21,0.02657802
22,0.024917003
23,0.02691029
24,0.028239034
25,0.030896872
26,0.028903581
27,0.03189369
28,0.030896872
29,0.03189369
30,0.030564595
31,0.030896872
32,0.027574837
33,0.027242564
34,0.026245743
35,0.027242564
36,0.027574837
37,0.02591347
38,0.02591347
39,0.028903581
40,0.027574837
41,0.026245743
42,0.027574837
43,0.026245743
44,0.024917003
45,0.021926887
46,0.019601326
47,0.017939959
48,0.01893678
49,0.01395338
50,0.017608035
51,0.015946671
52,0.013621107
53,0.015946671
54,0.015614394
55,0.014950201
56,0.017608035
57,0.016943492
58,0.017608035
59,0.016611218
60,0.016278945
61,0.014950201
62,0.013621107
63,0.012624636
64,0.010963269
65,0.0056475997
66,0.0043188557
67,0.0039865784
68,0.0023255646
69,0.0
70,0.00033227354
71,0.001993291
72,0.004983399
73,0.001993291
74,0.0
75,0.0016610175
76,0.0046511292
77,0.007641237
78,0.009966802
79,0.011295542
80,0.010963269
81,0.012292363
82,0.011627819
83,0.011295542
84,0.010630999
85,0.009634528
86,0.008637708
87,0.008305434
88,0.009634528
89,0.008637708
90,0.008969981
91,0.008969981
92,0.0066444166
93,0.007973511
94,0.008969981
95,0.008969981
96,0.0066444166
97,0.00697669
98,0.0066444166
99,0.0053156763
100,0.0026578382
101,0.004983399
102,0.0053156763
103,0.0066444166
104,0.0053156763
105,0.011960093
106,0.012624636
107,0.010630999
108,0.009302251
109,0.009966802
110,0.009634528
111,0.007973511
112,0.007973511
113,0.0066444166
114,0.0066444166
115,0.009302251
116,0.0073089674
117,0.0066444166
118,0.0073089674
119,0.007973511
120,0.0073089674
121,0.009966802
122,0.007973511
123,0.008305434
124,0.010630999
125,0.012292363
126,0.011295542
127,0.009966802
128,0.010963269
129,0.010299075
130,0.008969981
131,0.008305434
132,0.009302251
133,0.009302251
134,0.009634528
135,0.010630999
136,0.009634528
137,0.008637708
138,0.009302251
139,0.009966802
140,0.010963269
141,0.012624636
142,0.01395338
143,0.012292363
144,0.011960093
145,0.013621107
146,0.014285654
147,0.013288833
148,0.016611218
149,0.015282474
150,0.01395338
151,0.014285654
152,0.016611218
153,0.015614394
154,0.015614394
155,0.015614394
156,0.014950201
157,0.01395338
158,0.014285654
159,0.010299075
160,0.009634528
161,0.010963269
162,0.011627819
163,0.011960093
164,0.015946671
165,0.01395338
166,0.013288833
167,0.010963269
168,0.010630999
169,0.014285654
170,0.014617927
171,0.013621107
172,0.012624636
173,0.012624636
174,0.013288833
175,0.01395338
176,0.013288833
177,0.012624636
178,0.012624636
179,0.013288833
180,0.014617927
181,0.01395338
182,0.015282474
183,0.01395338
184,0.014950201
185,0.014617927
186,0.017275762
187,0.016278945
188,0.016278945
189,0.024252452
190,0.020597797
191,0.024917003
192,0.028239034
193,0.029235855
194,0.029235855
195,0.030232321
196,0.029900398
197,0.027242564
198,0.029568128
199,0.035215724
200,0.03588027
201,0.0348838
202,0.035547998
203,0.034551527
204,0.030896872
205,0.034551527
206,0.034219254
207,0.0348838
208,0.035547998
209,0.0373755
210,0.035547998
211,0.04152822
212,0.04152822
213,0.04401992
214,0.044850256
215,0.047341954
216,0.04318923
217,0.03820583
218,0.044850256
219,0.053156037
220,0.04983365
221,0.054817047
222,0.054817047
223,0.062292147
224,0.062292147
225,0.05980045
226,0.055647735
227,0.055647735
228,0.048172634
229,0.05232535
230,0.051495012
231,0.04983365
232,0.058139432
233,0.067275554
234,0.068936914
235,0.06644522
236,0.06312284
237,0.06312284
238,0.05980045
239,0.06146181
240,0.068106234
241,0.058139432
242,0.062292147
243,0.062292147
244,0.06561454
245,0.07142861
246,0.06976725
247,0.068936914
248,0.068106234
249,0.06395352
250,0.06478384
251,0.06561454
252,0.062292147
253,0.06312284
254,0.06312284
255,0.06312284
256,0.06395352
257,0.067275554
258,0.06644522
259,0.06312284
260,0.06312284
261,0.053156037
262,0.054817047
263,0.055647735
264,0.055647735
265,0.058139432
266,0.05980045
267,0.06395352
268,0.06644522
269,0.06561454
270,0.067275554
271,0.07890372
272,0.077242345
273,0.078073025
274,0.07475065
275,0.077242345
276,0.083056435
277,0.082225755
278,0.07973406
279,0.078073025
280,0.078073025
281,0.078073025
282,0.077242345
283,0.07641202
284,0.082225755
285,0.078073025
286,0.078073025
287,0.05980045
288,0.056478415
289,0.07308963
290,0.05980045
291,0.05980045
292,0.056478415
293,0.058970112
294,0.060631137
295,0.068106234
296,0.07308963
