,0,1
0,-1,[1.6155925e+04 1.9597500e+01 1.5197825e+00 8.9242224e+07]
1,-1,[1.6102713e+04 2.0170000e+01 1.5316551e+00 4.4149464e+07]
2,1,[1.6174022e+04 2.1000000e+01 1.5150349e+00 3.0208528e+07]
3,-1,[1.6391393e+04 2.0995001e+01 1.5031600e+00 1.9939692e+07]
4,-1,[1.6483168e+04 1.9580000e+01 1.4509200e+00 2.6549056e+07]
5,-1,[1.6722197e+04 2.0309999e+01 1.4176700e+00 1.7897294e+07]
6,-1,[1.7140402e+04 1.9907501e+01 1.4129250e+00 9.3613380e+06]
7,-1,[1.7281662e+04 2.0139999e+01 1.3891749e+00 1.1881698e+07]
8,-1,[1.7534588e+04 1.9965000e+01 1.4247975e+00 1.6901362e+07]
9,-1,[1.7626605e+04 1.9332500e+01 1.4247950e+00 9.8666730e+06]
10,-1,[1.7527805e+04 1.9682499e+01 1.4247975e+00 9.3908150e+06]
11,-1,[1.7803717e+04 1.9674999e+01 1.4224200e+00 4.3374620e+06]
12,-1,[1.7594451e+04 1.9487499e+01 1.3891776e+00 4.9312310e+06]
13,1,[1.7572848e+04 1.9012501e+01 1.3891776e+00 4.9312310e+06]
14,-1,[1.7699613e+04 1.9035000e+01 1.3274375e+00 7.3778960e+06]
15,-1,[1.7958684e+04 1.9607500e+01 1.4390450e+00 2.3106460e+07]
16,-1,[1.7798293e+04 1.9485001e+01 1.5696476e+00 4.3943120e+07]
17,1,[1.7457719e+04 1.9692499e+01 1.5577775e+00 1.2062776e+07]
18,-1,[1.757579e+04 1.957750e+01 1.505535e+00 7.316835e+06]
19,-1,[1.7410340e+04 2.0119999e+01 1.4461700e+00 7.8727040e+06]
20,-1,[1.725944e+04 2.085750e+01 1.408175e+00 3.181507e+06]
21,-1,[1.6882623e+04 2.0580000e+01 1.4034250e+00 2.7393390e+06]
22,-1,[1.695811e+04 2.005500e+01 1.455665e+00 5.212324e+06]
23,-1,[1.709124e+04 2.008000e+01 1.458040e+00 2.151886e+06]
24,1,[1.7274555e+04 1.8717501e+01 1.4580425e+00 2.8256670e+06]
25,-1,[1.7410520e+04 1.9152500e+01 1.5601525e+00 3.6390464e+07]
26,-1,[1.7641705e+04 1.8875000e+01 1.6765100e+00 4.9743952e+07]
27,-1,[1.7469898e+04 1.8995001e+01 1.6385150e+00 1.5429573e+07]
28,1,[1.7221473e+04 1.9045000e+01 1.5933975e+00 9.7171780e+06]
29,-1,[1.7283844e+04 1.8877501e+01 1.6052725e+00 1.3433498e+07]
30,1,[1.7271574e+04 1.8422501e+01 1.6123974e+00 7.1399680e+06]
31,-1,[1.712126e+04 1.802000e+01 1.705005e+00 7.570555e+07]
32,-1,[1.7264848e+04 1.7910000e+01 1.6955050e+00 2.5395208e+07]
33,1,[1.7594270e+04 1.7732500e+01 1.7145075e+00 2.2300028e+07]
34,-1,[1.7669332e+04 1.7180000e+01 1.7501249e+00 2.1238824e+07]
